,teacher_id,alpha_index,batch_id,scrape_date,scrape_status,teacher_name,location,followers,languages,date_joined,about,image_url
10000,neumarina,m,101,2022-12-11 12:19:42.320776,name found,Marina Neumann,"S�o Paulo, State of S�o Paulo, Brazil",237 followers,BR. Português,Joined in Oct 2018,"Marina practices meditation for more than twenty years. Mindfulness Specialist at Escola Paulista de Medicina/UNIFESP. Mindfulness Senior Instructor certified by MTI. Certified in Mindfulness Based Relapse Prevention (MBRP); Mindfulness for Patients with Cancer (MBCT-Ca) and Mindful Schools. Search Inside Yourself Certified Teacher (mindfulness and emotional intelligence) and Mindful Eating.  She has successfully been offering mindfulness and leadership programs, transforming people´s lives....read more",https://users.insighttimer.com/t6f0z0x7E2y2g7f0u4f5k6S4j0C0t6S2A5f1q7q4p2k4y9G3r3W7B4d5x1F2b0p6y0E5E2k6Q7e8V2G5k1W4p1u6s6w4p4Y8G1Z0/pictures/square_medium.jpeg
10001,marinabougaieff,m,101,2022-12-11 12:20:01.067624,name found,Marina Bougaïeff,"Paris, France",236 followers,Français,Joined in May 2017,"Ma mission ici, est de vous aider à communiquer avec les Anges et recevoir leur guidance. Nous avons tous cette capacité incroyable de pouvoir se connecter avec les énergies subtiles qui nous entourent. L'objectif de cette démarche est d'acquérir les clés du ""Bien vivre"" ici sur terre en faisant appel à la Light Team. Communiquer avec les anges est avant tout un site de partage qui se veut simple, accessible et compréhensible. Vous découvrirez sur ce site des articles et vidéos mêlant Humour & Amour, un contenu qui me ressemble car nous sommes au 21ème siècle et il me semble essentiel d'adopter un autre regard, plus jeune et dynamique, pour communiquer avec les anges! Les anges sont là pour nous aider à accomplir notre mission d'âme et à évoluer sur notre chemin personnel en toute sérénité. Ces énergies supérieures sont nos alliés au quotidien: Elles nous guident, nous soutiennent et nous accompagnent. Communiquer avec les anges, c'est donc s'offrir un passeport pour une vie plus fluide, plus fun et en accord avec les désirs et besoins de notre âme. Je suis ainsi ravie de devenir votre Traducteur!...read more",https://users.insighttimer.com/z7h5R8Y6U9U7h5c7f8U2r7e0B4y6c5C9N7d3R1r1x5V3K7p7k3f4K3Y5k8Y4Y3T2p4W3f2U5h3a9s5H6s0s0r8X5Q1n2P0C9Y8C4/pictures/square_medium.jpeg
10002,maedeevycht,m,101,2022-12-11 12:20:25.864810,name found,Mae Deevy,"Austin, TX, USA",235 followers,English,Joined in Feb 2020,"""I can't meditate,"" Mae used to tell herself. After being asked to lead meditations, she felt the fear of being ""found out as a fraud"" which eventually brought her to try hypnotherapy to uncover what was blocking her from having a daily mindfulness practice. She found hypnosis to be so profound that she decided to become a certified hypnotherapist! Now Mae hosts a podcast & helps clients shift the stories their subconscious minds are telling them so that they can live the life that they envision. ...read more",https://users.insighttimer.com/e8u1h6G3B3v9P9Z0z6h2L8p3k2M7U6w6t1w0C0E0r4f7v0s3N5n4j8H3y6g3B5n5B4V3G9Z7k4B0x4f4B2T5F1n8Q8f4r5p4T6j2/pictures/square_medium.jpeg
10003,marijuote,m,101,2022-12-11 12:20:44.652904,name found,Mari Juote,"Helsinki, Finland",234 followers,Suomi,Joined in Apr 2017,"Mari is a Mindfulness Teacher and Certified Mindful Self-Compassion Teacher (MSC). She's also a coach and trainer.  She enjoys helping individuals and organizations to support their employee’s wellbeing. 
",https://users.insighttimer.com/G2f2X3Q4N6C8Z1K4a5b4S6E6x1N7q4J5h1y8L8n7B8n4P8Y2C0R4a0J3D5Z9a4w5w3R5r8D0Y8V0X5B4b4r0g6g4r9X2y5d4E5V1/pictures/square_medium.jpeg
10004,melinda.cange,m,101,2022-12-11 12:21:03.492786,name found,Melinda Cange,"Zürich, Switzerland",235 followers,Deutsch,Joined in Mar 2020,"Schön, dass du hier bist. Ich bin Melinda und begleite spirituell Selbständige im Prozess der Sichtbarkeit und bei der eigenen Vermarktung. Mein Motto? Mit Soul und Flow zu mehr Business. Denn wenn du JA zu deiner Seele sagst, dann sagt das Leben auch von ganzem Herzen JA zu dir. Ich wünsche dir eine starke Verbindung zu deiner inneren Führung; den Mut, dein Licht authentisch in die Welt hinauszutragen und die Kraft, deine Wahrheit jeden Tag etwas lauter werden zu lassen. Let’s dive deep!...read more",https://users.insighttimer.com/x9k1L4L5A3t4y8n0x3q7r5r0M1m7E0s6w3S4W0P0A1w8C4K5j3J3K7Y7C4h9z7X8T0R8j0F8f4W4G7L8z9e5g6w0c0s5s0v0H8H6/pictures/square_medium.jpeg
10005,matthewandrews,m,101,2022-12-11 12:21:06.497082,name found,Matthew Andrews,"Amherst, MA, USA",233 followers,English,Joined in Apr 2020,"Matthew Andrews is singer, songwriter, poet, and meditation teacher. His love for India and honoring the ancient traditions of yoga shine through his teachings and his life. He is co-owner of Shraddhā Yoga with his wife Corinne and President of the Board for Auroville Interntional USA. He is also a 500-hour certified Embodyoga teacher, organizing and leading devotional yoga and kirtan retreats in North and South India....read more",https://users.insighttimer.com/A0A6K1N3y9D8E0r4N1y2v7g6T6A6y4H4p7g3A6L2U3j0s6y4w4e4r5U5n0y0w7a4m0J1C5m7A9M4s1Z8J6x2Y4B5D2h4L5X5r8A4/pictures/square_medium.jpeg
10006,mivozestuvoz,m,101,2022-12-11 12:21:31.316789,name found,Mi Voz Es Tu Voz,"Barcelona, Spain",234 followers,Español,Joined in Jul 2019,"Mi Voz Es Tu Voz nace a mediados de 2012 para sumarse al servicio planetario de concienciación por medio de la energía de la palabra hablada. Hoy, contamos con cuatro canales en youtube:  vibracionessen, centrado en la locución de canalizaciones espirituales y meditaciones guiadas; audioessen, dedicado a la narración de textos conscientes; nutricionessen, enfocado a la narración de textos referentes a la salud y a la nutrición conscientes; y poetessen, poemas y cuentos recitados. Gracias...read more",https://users.insighttimer.com/f9M9C7a4e6C8f1f8S5q3k8P9W0N1U3Y4y9M8T3w9V9W1w1c6s1s7S7u1G6X5U7m1V7P5F8e7c4u5K6L8R7a9b8M0j0W3R6K4n2n9/pictures/square_medium.jpeg
10007,madeleinemagnusson,m,101,2022-12-11 12:21:50.098249,name found,Madeleine Magnusson,"Halmstad, Sweden",230 followers,Svenska,Joined in Feb 2018,"Madeleine Magnusson erbjuder produkter och  tjänster inom personlig utveckling, mindfulness, yoga & EFT. Ambitionen är att hjälpa privatpersoner och företag att nå sina mål och drömmar. Fokus ligger i att behålla ett lugn. När vi är lugna och harmoniska fattar vi kloka och visa beslut och blir inte lika lätt uppjagade över småsaker, vilket i sin tur leder till en bättre hälsa. Det sägs ju ofta att stress är skadligt för vår hälsa, men stämmer det verkligen? En mycket intressant studie från universitetet i Wisconsin säger att det beror på vad DU TROR om stress. Och det gäller i alla avseenden, vad du tror om saker och ting har en mycket stor påverkan på ditt liv. Dina övertygelser styr ditt liv.

Madeleine Magnusson hjälper dig att identifiera dina övertygelser, får förståelse hur din stenåldershjärna fungerar och hjälper dig behålla fokus, samt ge dig kraftfulla verktyg för att nå dina mål.


Madeleine Magnusson
Hon är utbildad undersköterska, yogalärare, massör & healer och har studerat EFT, Psych-K, FBM (Freedom Based Mindset), braingym, ayurveda, meditation, qigong, rosenmetoden och fytoterapi. Läst media-& kommunikationsvetenskap, pedagogik, företagsekonomi på högskolan och Success Coaching på distans. Studerat för Bob Proctor och Bill Harris, två av världens bästa framgångscoacher, som också varit hennes coacher. Madeleine har också studerat och arbetat utomlands i England, Danmark och på Island. Arbetat ca 10 år inom vården och 10 år som terapeut. Hon har gått igenom många tuffa situationer i sitt liv. Tog sig ur 10 år av psykisk misshandel från sin exmake. Denna erfarenhet gav henne kraften och styrkan att aldrig ge upp och att alltid fortsätta fokusera på sina mål, vilket ledde till Success Education, som nu bytt varumärke till Madeleine Magnusson....read more",https://users.insighttimer.com/V3Q8L5e4N1W7y0D0B8g3d6Y1G8y1h9T6z4Z8K6F5j7r8C0L6j1H2g9J0G5e1Q7Z6Q2s8A1x8y7a2v7n9V8a2h2G7j5W0G0u8r0Z2/pictures/square_medium.jpeg
10008,melinasunshine,m,101,2022-12-11 12:21:52.673560,name found,melina,,228 followers,English,Joined in Sep 2021,"Melina fell in love with Yoga when she was nineteen, over three decades ago, and her love is still going strong. Melina has been teaching yoga for over fifteen years. She currently teaches classes at the local gym and at her health clinic. She also take private one on ones. 

Melina takes natural health consultations at her clinic and online. She would love to get to know you and support you on your joyous journey. 

Melina is passionate about assisting people to love their life and their body.

Come and spend some time with Melina and let her joy bring you joy....read more",https://users.insighttimer.com/G0edSBiajjSIWO77SZzEU0qAwNq1/pictures/square_medium.jpeg
10009,youareme,m,101,2022-12-11 12:21:55.372035,name found,Mark Ellison,"Brisbane, Australia",228 followers,English,Joined in Oct 2017,"Mark is a husband, father of four, teacher of high school Science, Study of Religion and Health & Physical Education, facilitator of various student retreats and social justice and advocacy programs, and the author of the book ""You Are Infinite, You Are Eternal, You Are God."" He has a Masters of Educational Leadership, a Bachelor of Applied Science, a Certificate III in Systematic Theology, and a passion for learning more about ultimate reality. ...read more",https://users.insighttimer.com/a9K8H7a1R7Z3N5K6U4p3g8T3f3K3N7d3n1e0A8P0T1g4Q5w9F5y4L6P7y5H7X2W0z0k0G1L3t2v5d5h8z0T3k9p6T0z2T2d2U2X3/pictures/square_medium.jpeg
10010,marcolehmann,m,101,2022-12-11 12:22:20.098220,name found,Marco Lehmann,"Zürich, Switzerland",227 followers,Deutsch and Schweizerdeutsch,Joined in May 2019,"Als Lebenscoach, Seminarleiter und Ausbildner unterstütze ich Menschen in Ihre volle Kraft zu kommen. Es ist meine Berufung Menschen weiter zu bringen — sei es via Meditation, Einzelcoachings oder an meinen Seminaren. Es erfüllt mich mit Freude und Glück Menschen glücklich zu sehen. Glaub an dich! Du bist der wichtigste Mensch in deinem Leben. ...read more",https://users.insighttimer.com/w6u9z0d6D7d4k5y3h5U8b6G7Q1z5U8R4h4C5H8c7G6j1T4L8A3w5g1v6C8B2j2N9k5y3w8E2T2b0Y0A8k1w1U2M9A4Z9f9r0V8f0/pictures/square_medium.jpeg
10011,thenurturedsoul,m,101,2022-12-11 12:22:22.816293,name found,Melinda Lee,"Perth WA, Australia",226 followers,English,Joined in Sep 2021,"Mel has practiced meditation since 2015, and it has brought great positive impact to every area of her life.

A firm believer in taking a holistic approach to health and wellness, becoming a Mother was a big catalyst for her to explore personal growth. Mel’s continued daily inspiration is that of her 2 beautiful children.

Mel is an Aquarian Kundalini Yoga/ Meditation Teacher, Holistic Counsellor,Hypnobirthing Educator specialising now in Sacral Chakra Healing ...read more",https://users.insighttimer.com/x2a0k6y7x4H0a7e0z3F6S6U6U0q2q4d4q5y2d6d8w5M4d9h6K6k2F9U5M8P8R5f1t0Y0K5w5Y2H1e6K3k8L6X7N2x6Q6k5D8g9b2/pictures/square_medium.jpeg
10012,mariakahn,m,101,2022-12-11 12:22:41.434033,name found,Maria Kahn,"Buffalo, USA",225 followers,English,Joined in Apr 2018,"Mindfulness has helped me navigate through life's most difficult challenges and has enriched my daily life in numerous ways. My passion to teach Mindfulness is fueled by an ever deepening and profound appreciation for the dependability of this ancient practice.   My practice began 25 years ago when I was introduced to Mindfulness while earning my degree in Philosophy from Buffalo State College with an emphasis in Eastern Philosophy and its practical applications.  My experience includes 25 years of Mindfulness training and practice under the guidance of Dr. George Hole (Distinguished Professor, Philosophical Counselor, Mentor), retreats with Thich Nhat Hanh (internationally renowned teacher, monk, author and peace activist) and meditation instruction with experts in China, Japan, Vietnam, India and Burma. In January 2014, I created, coordinated and implemented the first Mindfulness Program for the Institute for Shipboard Education, Semester at Sea, leading over 100 students, faculty and staff through an 8-Week Mindfulness  Course.  I counseled faculty and staff in developing coping strategies for students experiencing stress, anxiety, and depression, facilitated several  mindfulness process groups and led guided mindfulness meditation throughout the semester long voyage.   Most recently in August 2016, I traveled to Kenya and taught mindfulness for the faculty and staff at Woodland Star International School.  
Locally in Buffalo, New York I have taught Mindfulness at Univera Health, Independent Health,  M&T Bank, Seneca Niagara, NCCC, Roswell Park Cancer Institute, Buffalo State College, The Hemophilia Center of WNY,  Dent Neurological, Sacred Heart Academy, The Garrett Club, Buffalo Niagara Medical Campus and to a variety of other groups and individual clients throughout Western New York and abroad. I teach Mindfulness as way of reducing stress and unleashing the innate potential we all have to live our lives with greater calm, clarity and stability. My clientele come from multiple disciplines and all walks of life including business owners and healthcare professionals, attorneys, students, artists, educators and parents. 
While incorporating a patient and compassionate approach, I offer a unique skill set that allows students to access the root cause of their actual stressors, while learning to manage them effectively from within.  I offer courses in the classroom setting as well as private instruction and have helped numerous people overcome their struggles with a variety of issues and conditions including stress (work related, financial, family/relationship or health), sleeping disorders, anxiety, high blood pressure, chronic pain, fatigue, headaches and other problems inhibiting one’s quality of life. ...read more",https://users.insighttimer.com/a2E9R9A0K2r6h8A3r5G3a2U3m9u2w6K4C2q6C3m2g0v9T5F6s2F3x4n0h6N8d9D8N7H1X1S3X1M1u0F7u6f0s7k4g4F0N8P0e5r2/pictures/square_medium.jpeg
10013,kramkram.yoga,m,101,2022-12-11 12:23:00.142303,name found,Marine Baaklini,"Paris, France",225 followers,Français and English,Joined in Apr 2021,"Marine découvre le Yoga Nidra lors d'une retraite et est tout de suite fascinée par les bienfaits puissants, rapides et durables de cette pratique. 
Elle décide donc de s'y former afin de transmettre à son tour les bienfaits du Yoga Nidra. 
Marine est également certifiée en Yin Yoga, Yoga des Hormones, Yoga Pré et Post Natal et RYT 200H en Ashtanga Vinyasa....read more",https://users.insighttimer.com/Po75MZ83uwQl5p9R6d3fmTbgZcP2/pictures/square_medium.jpeg
10014,renacerdellobo,m,101,2022-12-11 12:23:03.050868,name found,Marcelo Lobo,"Temuco, Chile",222 followers,Español,Joined in Nov 2019,"Marcelo Lobo es el maestro espiritual del camino de Autoconocimiento Moderno. Cuenta con 20 años de experiencia en procesos de autoconocimiento y evolución espiritual. Es un Investigador de la Conciencia, con un estado iluminado por el Amor. Experto en prácticas espirituales efectivas. Meditador Avanzado de Vipassana. Autor de los Libros Autoconocimiento Moderno y El Sueño de Tu Vida....read more",https://users.insighttimer.com/M2u0G7G5F0G4z3u3a3k8W0g7w7T5X4U7Q8A9L8x5z5x1x3G5U0M5z5P4G7S8z3P2m7p1n2C0s3M0G1n0f7x9D2M9D7a2Y9q9f4S4/pictures/square_medium.jpeg
10015,mindfulcounselor,m,101,2022-12-11 12:23:30.238935,name found,Matt Shenker,"Richmond, VA, USA",222 followers,English,Joined in Mar 2020,"Matt is a mindfulness-based counselor and a values-driven culture consultant based in Richmond, VA. He approaches counseling and consulting from an Acceptance & Commitment Therapy perspective. As a child Matt struggled with ADHD & Anxiety. In his work now he uses ACT frameworks, research, clinical experience, and all that he's learned on his journey to help others face and heal any barriers within themselves or their relationships that limit abundance and helps others build paths to their fullest lives....read more",https://users.insighttimer.com/J0G9R1L9Q2W6b9J2J6U1h5w0P6Y2D6C0y2n4S2L1p0y3H1Y1q9n3D3t4G9p4M0Q2d8d1X9f2j7N6R3g3m4S1C4N7B4f3H6G3x7M9/pictures/square_medium.jpeg
10016,maddisonvernon,m,101,2022-12-11 12:23:49.963854,name found,Maddison Vernon,"Melbourne, Australia",221 followers,English,Joined in Nov 2018,"Maddison Vernon is a coach, meditation and mindfulness teacher who works with ambitious driven people who are wanting to slow down, take care, and most importantly be kind & compassionate to themselves. She teaches weekly meditation classes at studios around Melbourne alongside facilitating corporate meditation workshops. Maddison is an internationally certified coach and qualified yoga teacher. 
...read more",https://users.insighttimer.com/z4c3N8Z3a2Q4J1x4p9d3a9Z3X6k8U3y9a7c8Q1q3M4h6s2S9y5c0u7k0W6T8f0q6X8c9w1H7x5H0Z6F9t0s9W8w9k6S6w4e2X2T6/pictures/square_medium.jpeg
10017,melissaannyoga,m,101,2022-12-11 12:24:08.628932,name found,Melissa Ann Yoga,,220 followers,English,Joined in Jun 2021,"Melissa is a RYT 500 yoga + meditation teacher who helps individuals & groups overcome stress and anxiety so they can create & cultivate calm.

A recovering legal professional, she followed her dream, and traded life in BigLaw for sacred space with mindful movement and compassion. 

Melissa's been featured on NBC, CNN, the WSJ, and more, as the world's first coronavirus vaccine study participant in the Pfizer & BioNTech clinical trial.

Melissa is the Regional Director of YogaLove Magazine....read more",https://users.insighttimer.com/AEDNfpfzr2ZJuJcfEJmpW21Myel2/pictures/square_medium.jpeg
10018,martinewaltier,m,101,2022-12-11 12:24:31.280856,name found,Martine Waltier,"London, UK",219 followers,English,Joined in Mar 2020,"Martine is a musician, breathworker and yogini. Her guided sessions combine many healing modalities to bring a deeper connection and awareness to the individual, the universal and each moment we breathe.",https://users.insighttimer.com/f4T2D0E7M2b4e8P3B7V7g3T6D6p0n0a1y6a8a9Q8m8W3h9k0R9G8h1z4L4C4J1b3R4T6c9j4b2p5h8p2d7M1V2b3g3C7s1W3W3H8/pictures/square_medium.jpeg
10019,mayssam,m,101,2022-12-11 12:24:50.032775,name found,"Mayssam Mounir, MD","Beirut, Lebanon",219 followers,English and العربية,Joined in Mar 2021,"Moving from treating illness to educating wellness! I guide people into adopting habits with persistent actions that allow having prosperous experiences, enjoying a better quality of life. Not only to cope with life’s challenges and adversity but also to appreciate the gift of living and make the most of it, every minute. When connecting to the pulse of life, the vital energy, we thrive. We feel alive. You are able to alchemize any situation and transform it if you are not cluttered, mentally, emotionally or physically. If you’re clear, healthy and intentional.

In Ayurveda we have a structure for discovering your innate powers. You form a personalized practice that is made through the understanding of your mind-body constitution. With my extensive practice in medicine, altered states, entrepreneurship, and other modalities, I help you unfold your optimal potential. It's my honor to guide your way.

With enthusiasm and grit,
Certified Vedic Instructor,
Mayssam Mounir, M.D....read more",https://users.insighttimer.com/y8v9g9M9m4H8j0g9x5J5u5y4E8x9j1Z8p3z9F6G9H3g0U1t7V7J6M3u2Y4H6g1s7t3F0Y2p2M9c7B4s9q3A5Y2B7y1n0G8Q3x8L5/pictures/square_medium.jpeg
10020,onelighthealing,m,101,2022-12-11 12:25:08.820979,name found,Michelle Eberhardt,Las Vegas,218 followers,,Joined in Nov 2019,"Michelle has always been intuitive. Over the years mastering her abilities becoming a clear Channel and Quantum Healer & Traditional Usui Reiki Master Teacher and Cosmic Sound Healer. 
 She is now on a mission to help others live an emotionally high vibe life without doing it forcefully. 
It’s easy to have an easy life. 
It’s hard to have a hard life and by releasing pain and trauma and rewriting past experiences she
 Shows you how to create a peaceful future full of love hope health and happiness....read more",https://users.insighttimer.com/Z7k8P1z9d3L6T0t0d3Z3a7u7d6p9B9V3m8N3S0Z1Q7V2P2M9j2t4H6A0f5j1F0c1R6S1x9S9W4p9F8a1Y8v7s6U5C8h8V1B2u3K3/pictures/square_medium.jpeg
10021,marleneraker,m,101,2022-12-11 12:25:27.685071,name found,Marlene Raker,"Berlin, Germany",217 followers,Deutsch,Joined in Apr 2018,"YouTube: feinFÜHLEN 
Ich wünsche dir eine gute, erholsame Zeit! Jetzt darfst du mal Priorität sein!

",https://users.insighttimer.com/K2m9p4n3Y9B5S1Y0W3f5J7h2d2v1d5w8Z4M5u6f3A1u2N9D9w2X0Q6d5J7z5b8J5Q6g4F4M3p3x2b7H2p3P5b3a0K3R7V6P8k8v5/pictures/square_medium.jpeg
10022,meditateandmove,m,101,2022-12-11 12:25:52.534624,name found,Miles Levine,"San Diego, CA, USA",217 followers,English,Joined in Aug 2018,"Miles is a Fitness and Performance Coach that works 1v1 with people all over the world remotely. With over 15 years of meditation practice, retreats, courses and instructing as well as a Masters Degree in Exercise Physiology, a Bachelors Degree in Nutrition and multiple certifications for movement and coaching, Miles is well versed and ready to share his knowledge and expertise....read more",https://users.insighttimer.com/Q4E5Q9c9c6W4P6X5f5A1Z4T5P7V8j4y0e2J0E3p1m1j9D9K9g4Z3u6D7k6b8x1C4b4s8L7c8U5Y8j1M9R9b0r2r8M2n9M7K8Y8w6/pictures/square_medium.jpeg
10023,mirabelledcunha,m,101,2022-12-11 12:26:11.337523,name found,"Mirabelle Dcunha ""Sivajyoti""","Georgetown, CO, USA",217 followers,English,Joined in May 2020,"Mirabelle “Sivajyoti” is in an intimate relationship with yoga.  She is the founder of Sadhana Club, a bi-monthly live online yoga learning and mentoring program. She has been meditating since she was 16 and teaches meditation anjd yoga nidra online and in the Cayman Islands. With over 3,000 hrs of formal yoga training, Mirabelle has taught in New York, Mumbai, Bermuda, Bahamas, Chicago, and more. Her teaching reaches energetic depths across distance making learning deep, practical, and joyful. 
  
...read more",https://users.insighttimer.com/c7y1r3z2u6A8c0J7f5b7H9s3p2s6q1S4X5j1w1F8X4j5B2b3a7d3z6u7a6G3k4g3S8N5j3Y8Y9N5B8x1N8N4x0G1M6T6N3v3t1W0/pictures/square_medium.jpeg
10024,gongguru,m,101,2022-12-11 12:26:30.003170,name found,Matt Omo,"Sydney NSW, Australia",215 followers,English,Joined in Dec 2018,"Matt Omo is a visionary and leader of the sound healing movement in Australia with over 15 years experience working with various sound healing techniques bridging cultures and traditions worldwide.  Matt holds a Masters in Spiritual Psychology, Dip.of Sound Healing, Reiki Master, Massage Therapist, Kundalini Yoga Teacher, Breathworker, with numerous healing certifications. Matt uses  innovative techniques merging modern science and ancient wisdom in fun, palatable and practical ways....read more",https://users.insighttimer.com/G0b5a0p3F9b4x6S4j5G3S8S6p6d4x2P6a9B5x6T5b9w2t1M2C4S8y1D8J7M0p9U8u0u9L1e7X0p0s6Z1y8j2M9e5r0s3V1f0j3a3/pictures/square_medium.jpeg
10025,marloes77,m,101,2022-12-11 12:26:48.785674,name found,Marloes Telle,"The Hague, Netherlands",213 followers,Nederlands,Joined in Jun 2018,I am educated as a MBSR trainer and currently work as a corporate mindfulness trainer.,https://users.insighttimer.com/k8S3b4e6G9B8w0b4f4x5t7d8r0U2T1h3E3z6e6p6b1N0d0Z1L2s3e9v1L8p1N1K5E1J9c2p1e0E7A0K7p5w1x1C6u9S5z3c6r6b6/pictures/square_medium.jpeg
10026,makenna,m,101,2022-12-11 12:27:13.620675,name found,Makenna Paule,"California, USA",213 followers,English,Joined in Apr 2021,"Makenna Paule has a background in physiology and psychology. Throughout her 10+ year relationship with the practices of yoga and meditation, she has developed a unique style of teaching that integrates both science and spirituality to facilitate a curious and authentic experience within each individual. ...read more",https://users.insighttimer.com/kArhdTiGPBNiBq2kDLG6iZTnrJw2/pictures/square_medium.jpeg
10027,makenzie_costley,m,101,2022-12-11 12:27:16.112994,name found,MaKenzie Costley,"Bloomington, IL, USA",213 followers,English,Joined in Nov 2019,"I help women heal their relationship with food and their body so they can stop dieting and focus on what truly matters.

For more information, free resources, & more: makenziecostley.com",https://users.insighttimer.com/Y6D7C6g5q3j6R9L6P6q6w1w4z3j2C3Q1G9D9k3V0g0k5T1c6F8X9B7r0c6T2T5G1M7t9G6X3N1r7Q9g6B7F6x0V9N7X9S2L7c4Y6/pictures/square_medium.jpeg
10028,mehannon,m,101,2022-12-11 12:27:18.924021,name found,Mary Ellen Hannon,,212 followers,English,Joined in Jun 2022,"Mary Ellen, BA Health Science, is an Advanced Somatic Movement Guide and Author. She designed Fascia Fitness Flows to nurture your inner child, revitalize and rehydrate your liquid crystal matter (fascia), and ease pain through tracking sensations to make active choices to Ease-UP or Amp-Up in the moment. She provides coherent tools to: shape-shift the body from the inside out, pattern interrupt and help students get Myo-fascial relief that feels good and reawakens a sense of awe....read more",https://users.insighttimer.com/1Q1LhxUYiqMHAl2cmyZsvRjJqg82/pictures/square_medium.jpeg
10029,mindmybaby,m,101,2022-12-11 12:27:21.562655,name found,Mind my Baby,"Amsterdam, Netherlands",212 followers,Nederlands,Joined in May 2018,"Sharda begeleidt (aanstaande) moeders die het spannend vinden om te bevallen of heel bewust de komst van hun kindje willen meemaken, naar een positieve, aandachtvolle bevalervaring. Door haar persoonlijke en serene benadering – in combinatie met mindfulness, hypnobirthing en zwangerschapsyoga – ervaren ze rust, verbinding en vertrouwen en begeleid ik ze naar een liefdevolle ontmoeting met hun kindje en naar betrokken, ontspannen ouderschap....read more",https://users.insighttimer.com/y9S3Y6F0F4R4z9P7a5x4j2S9X4s2r5j2k6R0j7m0g7e2P3p0U6h4M0L6r4R3p1E5y9Z0f3a9Z0W6X3z7r9G4A0b1Q3B1H0h6K1j9/pictures/square_medium.jpeg
10030,marcelafreitas,m,101,2022-12-11 12:27:40.198138,name found,Marcela Freitas,"Santos, State of São Paulo, Brazil",211 followers,BR. Português,Joined in Mar 2020,"""Um dia fechei os olhos e percebi o meu respirar. Senti que o mar e a paz moravam dentro de mim. Agora quero que você também sinta a sua imensidão da pele pra dentro."" (Marcela Freitas)

Acredito em uma vida com propósito e me sinto honrada em poder compartilhar o que me transforma a cada dia com você, no seu processo de expansão da consciência.

Namaste! :)...read more",https://users.insighttimer.com/S5g0k7z4j6G7f4x2s2b2b0E7m8z2R5t9B6E2z6L0X5E5F6Y2e5v6E8a2R4T9S9T5c2v3u0Q2G2c2S8Q8U2M9f1U3B7h5v5C2H7f4/pictures/square_medium.jpeg
