,teacher_id,alpha_index,batch_id,scrape_date,scrape_status,teacher_name,location,followers,languages,date_joined,about,image_url
14300,scottsimon,s,144,2022-12-12 09:32:06.944984,name found,Scott Simon,"Cleveland, OH, USA",9 followers,English,Joined in Dec 2020,"Scott Simon is a happiness entrepreneur, meditation leader, speaker, divorce and life coach.

Scott is founder of Scare Your Soul, a global courage movement that has inspired tens of thousands of courageous acts.  He is also co-founder of Thrive, the country's first “happiness incubator.”  With Thrive, Scott and a team held dozens of community events based on positive psychology data and research, and gave a TEDx Talk on the topic of happiness.   

Scott has studied with teachers like Sharon Salzberg and Llama Surya Das, and earned a certificate in Positive Psychology with Harvard professor Dr. Tal Ben Shahar.  

He is a certified life coach - first focusing on divorcing men and now as a high performance coach - and leads mindfulness meditations with individuals and groups.   

Scott's greatest joy are his two amazing children, Noah and Teilah.  He lives in Cleveland, Ohio.

www.scottsimon.us
www.scareyoursoul.com
www.tedxcle.com/scott-simon...read more",https://users.insighttimer.com/D2G0G8U8m7S2J8x2X0F5h9f7d0G7V2X2P9m6Y4N1m0g8y3s3g4x7H0x1k4c1B6t4H1N9g5w3q1N5W8S0U9C9u7s9j9v3V4y1u9D7/pictures/square_medium.jpeg
14301,sherrie,s,144,2022-12-12 09:32:27.859167,name found,Sherrie Giusto,,9 followers,,Joined in Jul 2021,Sherrie Giusto encourages you to step onto your mat and into a more mindful space. Raised in Miami her fitness journey started as a nationally ranked tennis player. She has been teaching movement for over 30 years including owning her studios together with hosting yoga retreats in Colorado. This RYT 500 yoga instructor mother and grandma guides yogis  towards more peaceful centered lives. Her mantra is ‘Yoga with a Heart’....read more,https://users.insighttimer.com/xb3Iq62lzrQLD5zvA67SUaTbsE03/pictures/square_medium.jpeg
14302,discoveryourflow,s,144,2022-12-12 09:32:51.490066,name found,Sukhdev Benning,,9 followers,English,Joined in Feb 2022,"I started making music around 10 years ago, through my journeys in meditation, I slowly began merging the two together. The music just flows through me. I work as a mentor, helping visionaries reclaim their center and create their next vision. Feel blessed to serve you. Enjoy these vibes, they come straight from the source!...read more",https://users.insighttimer.com/4zKV9hT62JX6jeLtlfiJk45n2Us2/pictures/square_medium.jpeg
14303,crisis2clarity,s,144,2022-12-12 09:33:20.036662,name found,Sarah,"Snohomish, WA, USA",9 followers,English,Joined in Jan 2022,"Sarah began her meditation journey in 2007. Ten years later, she helped bring the first Mindfulness program to her corporation. Sarah has taught more than 25 8-week and 6-week classes focused around mindfulness and emotional intelligence in the work environment. In 2020, when the corporate world moved to the virtual world, Sarah saw a greater need to offer the tool of mindfulness and meditation to anyone that wanted to learn, by offering weekly drop-in mindfulness meditation sessions. Two years later, the sessions are still going strong and growing in numbers every week.
As a self-proclaimed weirdo, nerd, and geek, Sarah uses her BS in Molecular Biology to better understand the neuroscience of mindfulness and bring that understanding to her clients. She's also been known to use various fandoms and Sci-Fy references to enhance her guided meditations to create a more personalized experience....read more",https://users.insighttimer.com/K7F4U9S7r9r6u5u2v0u5E8n4e5X6W7z0g7D2n8b2z7U5p7s0R9e3a0a6Z6N2Q6z5Z9C8L6J0Q7h0v0t9A3c9Z8s1z6Q5V9G2a7w2/pictures/square_medium.jpeg
14304,stacib,s,144,2022-12-12 09:33:43.948245,name found,staci backauskas,,9 followers,English,Joined in Jul 2021,"staci b is a super smart, highly sensitive, non-linear creative *with a touch of trauma who offers perspectives from the cutting edge of societal evolution so we all can live our destiny, not our fate.",https://users.insighttimer.com/P2cHBxq71bWGJjLAX7l07mBNVno2/pictures/square_medium.jpeg
14305,sarahstackyoga,s,144,2022-12-12 09:34:07.133304,name found,Sarah Stack,"Durham, NC, USA",9 followers,English,Joined in May 2022,"Sarah is a meditation teacher who wants to help everyone find their wise inner voices.  The human mind fascinates her. She believes you can learn to heal, find truth and peace just by beginning to breathe and welcome the present moment as is.  She offers guided meditations to help you connect with yourself and let go....read more",https://users.insighttimer.com/nOkzRHuXFKaJheXkXGeaBDZnhTG3/pictures/square_medium.jpeg
14306,samayoga_wombglow,s,144,2022-12-12 09:34:30.642747,name found,Seraina Drabe,,9 followers,"Schweizerdeutsch, Deutsch and English",Joined in Dec 2021,"Als Yogalehrerin für feminines Yoga und Zyklus-Mentorin, widmet sich Seraina ganz der weiblichen Kraft. 
Sie hilft dir dabei dein inneres Wissen wieder neu zu entdecken und in die Verbindung mit deinem Schossraum zu kommen, um wieder mehr zu dir zu finden....read more",https://users.insighttimer.com/xwe3xgHp3JVgxBI8NdAOnP96hWe2/pictures/square_medium.jpeg
14307,supersonicsoulcircle,s,144,2022-12-12 09:34:54.959750,name found,Supersonic Soul Circle,,9 followers,English and Español,Joined in Jan 2022,"Kirtan... With Spunk! Through collective harmony, rhythm, and energy, we become Supersonic… We move beyond sound, into a deeper possibility. 

From Madison, WI, USA, we are a diverse group of seekers who love going on musical journeys.

Our Kirtan is fused with musical ingredients such as Rock, Jazz, Pop, Funk, and Reggae, with some Eastern sensibilities as well. We have been practicing Kirtan and Yoga Mantra music for over 10 years and love expanding with anyone else who wants to join the journey!...read more",https://users.insighttimer.com/eHxWtQcQMoaJDxxBeNlAxLGQ6RF3/pictures/square_medium.jpeg
14308,shadya,s,144,2022-12-12 09:35:03.269911,name found,Shadya Karawi Name,,9 followers,Español and English,Joined in Jun 2022,"I’m a Spiritual Mentor, igniting deep transformation processes in the lives of thousands of people around the globe with my unique Intuitive Love Healing method to offer you a powerful and transformational therapeutic process.
 
My mission is to activate your ancestral memory and awaken the healer within you, so that you can have clarity on your main lessons, gifts and talents, know what your family loyalties are and activate those buttons of power within you, to amplify your magnetism.
 
I am half-Colombian, half-Lebanese, happily living in Barcelona with my 4 dogs....read more",https://users.insighttimer.com/d3Q0V8T9D0N9v6y2z7p0Z7L3K1g0B5e7A7z0C5F1J9b7P6d0V0K2Z1U4L1D3D6A5P1t8D8L9Q3a6M6t7Z3d9u7X6r6L8d2Z1t3F4/pictures/square_medium.jpeg
14309,sandraschultze,s,144,2022-12-12 09:35:26.981239,name found,Sandra Schultze,Paris,9 followers,Français and English,Joined in Jul 2022,"Sandra a croisé le chemin du yoga après de nombreuses années passées dans des salles de montage vidéo, le corps raide et courbé, à l’abri de la lumière. 
Invitée au yoga ashtanga par une âme soeur en 2014, elle note comment petit à petit, subtilement, cette pratique change sa vie, par petites touches mais en profondeur. Elle se redresse et s’ouvre à la lumière. 
A Paris elle découvre Mysore Yoga Paris où elle a envie d’explorer et d’approfondir sa pratique. Sa rencontre avec Kia Naddermier a été déterminante pour sa pratique, qui, sous l’oeil et l’enseignement bienveillant de Kia prend une dimension plus engagée et plus consciente. Enfin, elle devient son apprentie pour poursuivre son apprentissage et pouvoir ensuite partager ce qui lui semble être la voie juste.
Formée en Inde à l’école Sivananda, elle étudie également le restorative yoga avec Lizzie Lasater, le pratique et le partage avec bonheur et joie, et se plonge dans la méditation MBSR....read more",https://users.insighttimer.com/C3T0M7x2B8G8z9a5m0Y2r6j9R4f7h2r2d3P2k7e2v2b4x2h8q2U0Z6E1M5p1D2n8Y9L1E6Z4A3B2y0C5A3M8z1M3s3G7t7Q9j9y3/pictures/square_medium.jpeg
